Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1028,48.625,233.667,P3,100,121,GoFlo,,,,,
1028,48.625,233.667,P3,125,122,GoFlo,,,,,
1028,48.625,233.667,P3,125,123,GoFlo,,,,,
1028,48.625,233.667,P3,150,124,GoFlo,,,,,
1028,48.625,233.667,P3,150,125,GoFlo,,,,,
1028,48.625,233.667,P3,200,126,GoFlo,,,,,
1028,48.625,233.667,P3,200,127,GoFlo,,,,,
1028,48.625,233.667,P3,300,128,GoFlo,,,,,
1028,48.625,233.667,P3,300,129,GoFlo,,,,,
1028,48.625,233.667,P3,500,130,GoFlo,,,,,
1028,48.625,233.667,P3,500,131,GoFlo,,,,,
1028,48.625,233.667,P3,750,132,GoFlo,,,,,
1028,48.625,233.667,P3,750,133,GoFlo,,,,,
1028,48.625,233.667,P3,780,134,GoFlo,,,,,
1028,48.625,233.667,P3,780,135,GoFlo,,,,,
1031,48.600,234,P2,17,136,GoFlo,,,,,
1031,48.600,234,P2,17,137,GoFlo,,,,,
1031,48.600,234,P2,30,138,GoFlo,,,,,
1031,48.600,234,P2,30,139,GoFlo,,,,,
1031,48.600,234,P2,75,140,GoFlo,,,,,
1031,48.600,234,P2,75,141,GoFlo,,,,,
1031,48.600,234,P2,100,142,GoFlo,,,,,
1031,48.600,234,P2,100,143,GoFlo,,,,,
1032,48.600,234,P2,40,144,GoFlo,,,,,
1032,48.600,234,P2,40,145,GoFlo,,,,,
1032,48.600,234,P2,22,146,GoFlo,,,,,
1032,48.600,234,P2,22,147,GoFlo,,,,,
1036,48.575,234.500,P1,10,156,GoFlo,,,,,
1036,48.575,234.500,P1,10,157,GoFlo,,,,,
1036,48.575,234.500,P1,15,158,GoFlo,,,,,
1036,48.575,234.500,P1,15,159,GoFlo,,,,,
1036,48.575,234.500,P1,30,160,GoFlo,,,,,
1036,48.575,234.500,P1,30,161,GoFlo,,,,,
1036,48.575,234.500,P1,40,162,GoFlo,,,,,
1036,48.575,234.500,P1,40,163,GoFlo,,,,,
1036,48.575,234.500,P1,40,164,GoFlo,,,,,
1036,48.575,234.500,P1,40,165,GoFlo,,,,,
1036,48.575,234.500,P1,50,166,GoFlo,,,,,
1036,48.575,234.500,P1,50,167,GoFlo,,,,,
1036,48.575,234.500,P1,70,168,GoFlo,,,,,
