Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1027,48.625,233.667,P3,300,615,Niskin,,,,,
1027,48.625,233.667,P3,300,616,Niskin,,,,,
1027,48.625,233.667,P3,300,617,Niskin,,,,,
1027,48.625,233.667,P3,200,618,Niskin,,,,,
1027,48.625,233.667,P3,150,619,Niskin,,,,,
1027,48.625,233.667,P3,150,620,Niskin,,,,,
1027,48.625,233.667,P3,150,621,Niskin,,,,,
1027,48.625,233.667,P3,150,622,Niskin,,,,,
1027,48.625,233.667,P3,125,623,Niskin,,,,,
1027,48.625,233.667,P3,125,624,Niskin,,,,,
1027,48.625,233.667,P3,28,625,Niskin,,,,,
1027,48.625,233.667,P3,28,626,Niskin,,,,,
1027,48.625,233.667,P3,28,627,Niskin,,,,,
1027,48.625,233.667,P3,28,628,Niskin,,,,,
1027,48.625,233.667,P3,28,629,Niskin,,,,,
1027,48.625,233.667,P3,28,630,Niskin,,,,,
1027,48.625,233.667,P3,28,631,Niskin,,,,,
1027,48.625,233.667,P3,28,632,Niskin,,,,,
1027,48.625,233.667,P3,28,633,Niskin,,,,,
1027,48.625,233.667,P3,28,634,Niskin,,,,,
1029,48.625,233.667,P3,100,635,Niskin,,,,,
1029,48.625,233.667,P3,100,636,Niskin,,,,,
1029,48.625,233.667,P3,70,637,Niskin,,,,,
1029,48.625,233.667,P3,70,638,Niskin,,,,,
1029,48.625,233.667,P3,70,639,Niskin,,,,,
1029,48.625,233.667,P3,70,640,Niskin,,,,,
1029,48.625,233.667,P3,40,641,Niskin,,,,,
1029,48.625,233.667,P3,40,642,Niskin,,,,,
1029,48.625,233.667,P3,20,643,Niskin,,,,,
1029,48.625,233.667,P3,20,644,Niskin,,,,,
1029,48.625,233.667,P3,20,645,Niskin,,,,,
1029,48.625,233.667,P3,5,646,Niskin,,,,,
1029,48.625,233.667,P3,5,647,Niskin,,,,,
1029,48.625,233.667,P3,5,648,Niskin,,,,,
1029,48.625,233.667,P3,5,649,Niskin,,,,,
1029,48.625,233.667,P3,5,650,Niskin,,,,,
1029,48.625,233.667,P3,5,651,Niskin,,,,,
1029,48.625,233.667,P3,5,652,Niskin,,,,,
1029,48.625,233.667,P3,5,653,Niskin,,,,,
1029,48.625,233.667,P3,5,654,Niskin,,,,,
1029,48.625,233.667,P3,5,655,Niskin,,,,,
1029,48.625,233.667,P3,5,656,Niskin,,,,,
1029,48.625,233.667,P3,5,657,Niskin,,,,,
1029,48.625,233.667,P3,5,658,Niskin,,,,,
1030,48.600,234,P2,100,659,Niskin,,,,,
1030,48.600,234,P2,100,660,Niskin,,,,,
1030,48.600,234,P2,100,661,Niskin,,,,,
1030,48.600,234,P2,75,662,Niskin,,,,,
1030,48.600,234,P2,75,663,Niskin,,,,,
1030,48.600,234,P2,75,664,Niskin,,,,,
1030,48.600,234,P2,40,665,Niskin,,,,,
1030,48.600,234,P2,40,666,Niskin,,,,,
1030,48.600,234,P2,40,667,Niskin,,,,,
1030,48.600,234,P2,40,668,Niskin,,,,,
1030,48.600,234,P2,22,669,Niskin,,,,,
1030,48.600,234,P2,22,670,Niskin,,,,,
1030,48.600,234,P2,22,671,Niskin,,,,,
1030,48.600,234,P2,22,672,Niskin,,,,,
1030,48.600,234,P2,22,673,Niskin,,,,,
1030,48.600,234,P2,22,674,Niskin,,,,,
1030,48.600,234,P2,22,675,Niskin,,,,,
1030,48.600,234,P2,22,676,Niskin,,,,,
1030,48.600,234,P2,22,677,Niskin,,,,,
1030,48.600,234,P2,22,678,Niskin,,,,,
1030,48.600,234,P2,22,679,Niskin,,,,,
1030,48.600,234,P2,15,680,Niskin,,,,,
1030,48.600,234,P2,15,681,Niskin,,,,,
1030,48.600,234,P2,15,682,Niskin,,,,,
1033,48.600,234,P2,5,683,Niskin,,,,,
1033,48.600,234,P2,5,684,Niskin,,,,,
1033,48.600,234,P2,5,685,Niskin,,,,,
1033,48.600,234,P2,5,686,Niskin,,,,,
1033,48.600,234,P2,5,687,Niskin,,,,,
1033,48.600,234,P2,5,688,Niskin,,,,,
1033,48.600,234,P2,5,689,Niskin,,,,,
1033,48.600,234,P2,5,690,Niskin,,,,,
1033,48.600,234,P2,5,691,Niskin,,,,,
1033,48.600,234,P2,5,692,Niskin,,,,,
1033,48.600,234,P2,5,693,Niskin,,,,,
1033,48.600,234,P2,5,694,Niskin,,,,,
1033,48.600,234,P2,5,695,Niskin,,,,,
1033,48.600,234,P2,5,696,Niskin,,,,,
1033,48.600,234,P2,5,697,Niskin,,,,,
1033,48.600,234,P2,5,698,Niskin,,,,,
1033,48.600,234,P2,5,699,Niskin,,,,,
1033,48.600,234,P2,5,700,Niskin,,,,,
1033,48.600,234,P2,5,701,Niskin,,,,,
1033,48.600,234,P2,5,702,Niskin,,,,,
1033,48.600,234,P2,5,703,Niskin,,,,,
1033,48.600,234,P2,5,704,Niskin,,,,,
1033,48.600,234,P2,5,705,Niskin,,,,,
1033,48.600,234,P2,5,706,Niskin,,,,,
1034,48.575,234.500,P1,90,711,Niskin,,,,,
1034,48.575,234.500,P1,80,712,Niskin,,,,,
1034,48.575,234.500,P1,70,713,Niskin,,,,,
1034,48.575,234.500,P1,60,714,Niskin,,,,,
1034,48.575,234.500,P1,50,715,Niskin,,,,,
1034,48.575,234.500,P1,45,716,Niskin,,,,,
1034,48.575,234.500,P1,40,717,Niskin,,,,,
1034,48.575,234.500,P1,35,718,Niskin,,,,,
1034,48.575,234.500,P1,30,719,Niskin,,,,,
1034,48.575,234.500,P1,25,720,Niskin,,,,,
1037,48.575,234.500,P1,100,721,Niskin,,,,,
1037,48.575,234.500,P1,100,722,Niskin,,,,,
1037,48.575,234.500,P1,100,723,Niskin,,,,,
1037,48.575,234.500,P1,100,724,Niskin,,,,,
1037,48.575,234.500,P1,100,725,Niskin,,,,,
1037,48.575,234.500,P1,100,726,Niskin,,,,,
1037,48.575,234.500,P1,100,727,Niskin,,,,,
1037,48.575,234.500,P1,40,728,Niskin,,,,,
1037,48.575,234.500,P1,40,729,Niskin,,,,,
1037,48.575,234.500,P1,40,730,Niskin,,,,,
1037,48.575,234.500,P1,40,731,Niskin,,,,,
1037,48.575,234.500,P1,40,732,Niskin,,,,,
1037,48.575,234.500,P1,40,733,Niskin,,,,,
1037,48.575,234.500,P1,40,734,Niskin,,,,,
1037,48.575,234.500,P1,40,735,Niskin,,,,,
1037,48.575,234.500,P1,40,736,Niskin,,,,,
1037,48.575,234.500,P1,40,737,Niskin,,,,,
1037,48.575,234.500,P1,40,738,Niskin,,,,,
1037,48.575,234.500,P1,40,739,Niskin,,,,,
1037,48.575,234.500,P1,5,740,Niskin,,,,,
1037,48.575,234.500,P1,5,741,Niskin,,,,,
1037,48.575,234.500,P1,5,742,Niskin,,,,,
1037,48.575,234.500,P1,5,743,Niskin,,,,,
1037,48.575,234.500,P1,5,744,Niskin,,,,,
1038,48.575,234.500,P1,70,751,Niskin,,,,,
1038,48.575,234.500,P1,70,752,Niskin,,,,,
1038,48.575,234.500,P1,30,753,Niskin,,,,,
1038,48.575,234.500,P1,30,754,Niskin,,,,,
1038,48.575,234.500,P1,15,755,Niskin,,,,,
1038,48.575,234.500,P1,15,756,Niskin,,,,,
1038,48.575,234.500,P1,15,757,Niskin,,,,,
1038,48.575,234.500,P1,15,758,Niskin,,,,,
1038,48.575,234.500,P1,15,759,Niskin,,,,,
1038,48.575,234.500,P1,15,760,Niskin,,,,,
1038,48.575,234.500,P1,15,761,Niskin,,,,,
1038,48.575,234.500,P1,15,762,Niskin,,,,,
1038,48.575,234.500,P1,15,763,Niskin,,,,,
1038,48.575,234.500,P1,15,764,Niskin,,,,,
1038,48.575,234.500,P1,15,765,Niskin,,,,,
1038,48.575,234.500,P1,15,766,Niskin,,,,,
1038,48.575,234.500,P1,15,767,Niskin,,,,,
1038,48.575,234.500,P1,15,768,Niskin,,,,,
1038,48.575,234.500,P1,15,769,Niskin,,,,,
1038,48.575,234.500,P1,15,770,Niskin,,,,,
1038,48.575,234.500,P1,15,771,Niskin,,,,,
1038,48.575,234.500,P1,15,772,Niskin,,,,,
1038,48.575,234.500,P1,15,773,Niskin,,,,,
1038,48.575,234.500,P1,15,774,Niskin,,,,,
1001,48.817,231.334,P8,5,801,SurfacePump,,,,,
1010,48.743,232.333,P6,5,802,SurfacePump,,,,,
1019,48.651,233,P4,5,803,SurfacePump,,,,,
1040,48.575,234.500,P1,5,804,SurfacePump,,,,,
